Price_List_Code,Source_Type,Assign_to_No,Product_No,Description,Unit_Cost,Unit_Price,Line_Discount_Percent,Minimum_Quantity,Starting_Date,Ending_Date,Posting_Group
GNB-01,Customer Price Group,GNB,AL99-25700-03,"MANDOOR, PASSAGE DOOR C-CHANNEL AS-36257 WHITE",0.92419,1.32,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL99-25800-03,"MANDOOR, PASSAGE DOOR FLANGED CHANNEL OTHER AS-36258 WHITE",1.04154,1.49,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL99-93825-01,ALUMINIUM ANGLE T-BAR AS-61938 MILL,0.35125,0.5,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,CL40-21000-2804,"SECTION, 3717, [28' 04""] X 21"", MG, WHITE, BULK",504.08,720.11,0,0,2026-05-06,,COMM
GNB-01,Customer Price Group,GNB,CL40-24000-2804,"SECTION, 3717, [28' 04""] X 24"", MG, WHITE, BULK",504.10667,720.15,0,0,2026-05-06,,COMM
GNB-01,Customer Price Group,GNB,CLOPAY DOORS,CLOPAY DOORS,116.92,167.03,0,0,2026-05-06,,MISC
GNB-01,Customer Price Group,GNB,CRATING,CRATING CHARGES,225,321.43,0,0,2026-05-06,,MISC
GNB-01,Customer Price Group,GNB,CUSTOM-INV,CUSTOM INVENTORY ITEMS,48.47,69.24,0,0,2026-05-06,,MISC
GNB-01,Customer Price Group,GNB,DOCKBOARD,"ALU DOCKBOARD, 60"" x 36"", 15,000 LBS CAPACITY",1035,1478.57,0,0,2026-05-06,,MISC
GNB-01,Customer Price Group,GNB,FH10-00079-00,"END CAPS, KANATA 20 GA RH 21""",4.24944,6.07,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-00080-00,"END CAPS, KANATA 20 GA LH 24""",4.54,6.49,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-00081-00,"END CAPS, KANATA 20 GA RH 24""",4.54,6.49,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11122-10,"END CAPS SGL COMMERCIAL 1-1/2"" 20 GA 21"" PR",9.0686,12.96,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11132-10,"END CAPS SGL COMMERCIAL 1-1/2"" 20 GA 24"" PR",12.38,17.69,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11222-10,"END CAPS SGL COMMERCIAL 1-3/4"" 20 GA 21"" PR",9.61273,13.73,0,0,2026-05-06,,HARD
